eventName,eventSource,eventTimestamp,textDelta,cursorRange,currentDoc,currentCursor,currentSuggestions,currentSuggestionIndex,currentHoverIndex,currentN,currentMaxToken,currentTemperature,currentTopP,currentPresencePenalty,currentFrequencyPenalty,eventNum,session_id,text
text-insert,user,2021-08-30 15:01:35.461,"{'ops': [{'retain': 2402}, {'insert': 'h'}]}",,,2403,[],1,1.0,5,30,0.2,1,0,0.5,1474,95804c7277db4d538b06492830bed43c,
text-insert,user,2021-08-29 19:54:58.376,"{'ops': [{'retain': 724}, {'insert': 'e'}]}",,,725,[],0,2.0,5,30,0.3,1,0,0.0,353,32a94859448a444fb63afd21ee7168eb,
text-insert,user,2021-08-19 21:34:07.756,"{'ops': [{'retain': 1022}, {'insert': 'c'}]}",,,1023,[],0,0.0,5,30,0.75,1,0,1.0,812,949e2852c2a74afa83eb332ccd301159,
text-insert,user,2021-08-16 22:36:50.314,"{'ops': [{'retain': 1773}, {'insert': ' '}]}",,,1774,[],0,0.0,5,30,0.3,1,0,0.0,1314,562cda138b314c97b21ba43f691b79ec,
text-insert,user,2021-08-31 16:46:19.858,"{'ops': [{'retain': 1333}, {'insert': 'e'}]}",,,1334,[],4,4.0,5,30,0.9,1,0,0.5,762,423daa7fb2214d1093f73d4966240646,
text-insert,user,2021-08-24 20:01:40.072,"{'ops': [{'retain': 2794}, {'insert': 'u'}]}",,,2795,[],0,0.0,5,30,0.3,1,0,0.0,2671,ead266bd00fd4423be98ad8176af3a17,
text-insert,user,2021-08-16 06:30:26.103,"{'ops': [{'retain': 1584}, {'insert': 'C'}]}",,,1585,[],0,0.0,5,30,0.75,1,0,1.0,1085,1e71cd3d266046fdaeeef386a80a0781,
text-insert,user,2021-08-27 06:30:44.108,"{'ops': [{'retain': 670}, {'insert': 'f'}]}",,,671,[],4,4.0,5,30,0.9,1,0,0.5,223,027db48dd5c84f9ebe6a19c5ac9ce502,
text-insert,user,2021-08-26 13:18:45.309,"{'ops': [{'retain': 270}, {'insert': 's'}]}",,,271,[],0,,5,30,0.75,1,0,1.0,167,9ed6505663e3421ea07365fe634cbe82,
text-insert,user,2021-08-23 17:11:45.005,"{'ops': [{'retain': 779}, {'insert': 'i'}]}",,,780,[],0,3.0,5,30,0.9,1,0,0.5,495,7f7612ebfa1544d6b25fbbb53a49a5ae,
text-insert,user,2021-09-05 21:49:53.342,"{'ops': [{'retain': 1145}, {'insert': 's'}]}",,,1146,[],3,3.0,5,30,0.2,1,0,0.5,784,99787c0818c64ba1b67cb399e5b88039,
text-insert,user,2021-08-26 04:38:44.079,"{'ops': [{'retain': 1034}, {'insert': 'n'}]}",,,1035,[],4,4.0,5,30,0.2,1,0,0.5,545,5a933e794e664407b79affecbbe3d4de,
